Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1987-88;New Jersey Nets;1;Pearl Washington;PG;6-2;190;January 6, 1964;us;1;Syracuse
1987-88;New Jersey Nets;52;Buck Williams;PF;6-8;215;March 8, 1960;us;6;Maryland
1987-88;New Jersey Nets;15;Ricky Wilson;PG;6-3;195;July 16, 1964;us;R;George Mason
1987-88;New Jersey Nets;0;Orlando Woolridge;SF;6-9;215;December 16, 1959;us;6;Notre Dame
1988-89;New Jersey Nets;5;John Bagley;PG;6-0;185;April 23, 1960;us;6;Boston College
1988-89;New Jersey Nets;6;Walter Berry;PF;6-8;215;May 14, 1964;us;2;St. John's
1988-89;New Jersey Nets;11;Joe Barry Carroll;C;7-0;225;July 24, 1958;us;7;Purdue
1988-89;New Jersey Nets;40;Ron Cavenall;C;7-1;230;April 30, 1959;us;1;Texas Southern
1988-89;New Jersey Nets;15;Lester Conner;PG;6-4;180;September 17, 1959;us;5;Oregon State
1988-89;New Jersey Nets;12;Corey Gaines;SG;6-3;195;June 1, 1965;us;R;UCLA, Loyola Marymount
1988-89;New Jersey Nets;23;Roy Hinson;SF;6-9;210;May 2, 1961;us;5;Rutgers University
1988-89;New Jersey Nets;2;Dennis Hopson;SG;6-5;200;April 22, 1965;us;1;Ohio State
1988-89;New Jersey Nets;20;Bill Jones;PF;6-7;175;March 18, 1966;us;R;Iowa
1988-89;New Jersey Nets;24;Keith Lee;PF;6-10;215;December 28, 1962;us;2;Memphis
1988-89;New Jersey Nets;22;Mike McGee;SG;6-5;190;July 29, 1959;us;7;Michigan
1988-89;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;R;Auburn
1988-89;New Jersey Nets;33;Charles Shackleford;C;6-10;225;April 22, 1966;us;R;NC State
1988-89;New Jersey Nets;52;Buck Williams;PF;6-8;215;March 8, 1960;us;7;Maryland
1988-89;New Jersey Nets;7;Kevin Williams;SG;6-2;175;September 11, 1961;us;4;TCU, St. John's
1989-90;New Jersey Nets;10;Mookie Blaylock;PG;6-0;180;March 20, 1967;us;R;Midland College, Oklahoma
1989-90;New Jersey Nets;31;Sam Bowie;C;7-1;235;March 17, 1961;us;4;Kentucky
1989-90;New Jersey Nets;21;Stanley Brundy;SF;6-6;210;November 13, 1967;us;R;DePaul
1989-90;New Jersey Nets;12;Rick Carlisle;SG;6-5;210;October 27, 1959;us;4;University of Maine, Virginia
1989-90;New Jersey Nets;11;Joe Barry Carroll;C;7-0;225;July 24, 1958;us;8;Purdue
1989-90;New Jersey Nets;15;Lester Conner;PG;6-4;180;September 17, 1959;us;6;Oregon State
1989-90;New Jersey Nets;52;Chris Dudley;PF;6-11;235;February 22, 1965;us;2;Yale
1989-90;New Jersey Nets;24;Derrick Gervin;PF;6-8;200;March 28, 1963;us;R;Texas-San Antonio
1989-90;New Jersey Nets;44;Jack Haley;PF;6-10;240;January 27, 1964;us;1;UCLA
1989-90;New Jersey Nets;23;Roy Hinson;PF;6-9;210;May 2, 1961;us;6;Rutgers University
1989-90;New Jersey Nets;2;Dennis Hopson;SG;6-5;200;April 22, 1965;us;2;Ohio State
1989-90;New Jersey Nets;14;Jaren Jackson;SG;6-4;190;October 27, 1967;us;R;Georgetown
1989-90;New Jersey Nets;42;Anthony Mason;PF;6-7;250;December 14, 1966;us;R;Tennessee State
1989-90;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;1;Auburn
1989-90;New Jersey Nets;7;Pete Myers;SG;6-6;180;September 15, 1963;us;3;Little Rock
1989-90;New Jersey Nets;33;Charles Shackleford;C;6-10;225;April 22, 1966;us;1;NC State
1989-90;New Jersey Nets;45;Purvis Short;SF;6-7;210;July 2, 1957;us;11;Jackson State University
1989-90;New Jersey Nets;24;Jay Taylor;SG;6-3;190;October 3, 1967;us;R;Eastern Illinois University
1989-90;New Jersey Nets;22;Leon Wood;SG;6-3;185;March 25, 1962;us;4;Arizona, Cal State Fullerton
1990-91;New Jersey Nets;33;Greg Anderson;PF;6-10;230;June 22, 1964;us;3;Houston
1990-91;New Jersey Nets;10;Mookie Blaylock;PG;6-0;180;March 20, 1967;us;1;Midland College, Oklahoma
1990-91;New Jersey Nets;31;Sam Bowie;C;7-1;235;March 17, 1961;us;5;Kentucky
1990-91;New Jersey Nets;35;Jud Buechler;SF;6-6;220;June 19, 1968;us;R;Arizona
1990-91;New Jersey Nets;44;Derrick Coleman;PF;6-10;230;June 21, 1967;us;R;Syracuse
1990-91;New Jersey Nets;15;Lester Conner;PG;6-4;180;September 17, 1959;us;7;Oregon State
1990-91;New Jersey Nets;22;Chris Dudley;C;6-11;235;February 22, 1965;us;3;Yale
1990-91;New Jersey Nets;12;Tate George;PG;6-5;190;May 29, 1968;us;R;UConn
1990-91;New Jersey Nets;30;Derrick Gervin;PF;6-8;200;March 28, 1963;us;1;Texas-San Antonio
1990-91;New Jersey Nets;54;Jack Haley;PF;6-10;240;January 27, 1964;us;2;UCLA
1990-91;New Jersey Nets;6;Roy Hinson;PF;6-9;210;May 2, 1961;us;7;Rutgers University
1990-91;New Jersey Nets;20;Kurk Lee;PG;6-3;190;June 3, 1967;us;R;Western Kentucky, Towson University
1990-91;New Jersey Nets;5;Terry Mills;PF;6-10;230;December 21, 1967;us;R;Michigan
1990-91;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;2;Auburn
1990-91;New Jersey Nets;3;Dražen Petrović;SG;6-5;195;October 22, 1964;hr;1;
1990-91;New Jersey Nets;24;Reggie Theus;SG;6-7;190;October 13, 1957;us;12;UNLV
1991-92;New Jersey Nets;21;Rafael Addison;SF;6-7;215;July 22, 1964;us;1;Syracuse
1991-92;New Jersey Nets;7;Kenny Anderson;PG;6-0;168;October 9, 1970;us;R;Georgia Tech
1991-92;New Jersey Nets;10;Mookie Blaylock;PG;6-0;180;March 20, 1967;us;2;Midland College, Oklahoma
1991-92;New Jersey Nets;31;Sam Bowie;C;7-1;235;March 17, 1961;us;6;Kentucky
1991-92;New Jersey Nets;35;Jud Buechler;SF;6-6;220;June 19, 1968;us;1;Arizona
1991-92;New Jersey Nets;44;Derrick Coleman;PF;6-10;230;June 21, 1967;us;1;Syracuse
1991-92;New Jersey Nets;22;Chris Dudley;C;6-11;235;February 22, 1965;us;4;Yale
1991-92;New Jersey Nets;45;Dave Feitl;C;6-11;235;June 8, 1962;us;4;Texas-El Paso
1991-92;New Jersey Nets;12;Tate George;SG;6-5;190;May 29, 1968;us;1;UConn
1991-92;New Jersey Nets;20;Doug Lee;SG;6-5;200;October 24, 1964;us;R;Texas A&M, Purdue
1991-92;New Jersey Nets;5;Terry Mills;PF;6-10;230;December 21, 1967;us;1;Michigan
1991-92;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;3;Auburn
1991-92;New Jersey Nets;3;Dražen Petrović;SG;6-5;195;October 22, 1964;hr;2;
1992-93;New Jersey Nets;21;Rafael Addison;SF;6-7;215;July 22, 1964;us;2;Syracuse
1992-93;New Jersey Nets;7;Kenny Anderson;PG;6-0;168;October 9, 1970;us;1;Georgia Tech
1992-93;New Jersey Nets;31;Sam Bowie;C;7-1;235;March 17, 1961;us;7;Kentucky
1992-93;New Jersey Nets;52;Chucky Brown;SF;6-7;214;February 29, 1968;us;3;NC State
1992-93;New Jersey Nets;10;Maurice Cheeks;PG;6-1;180;September 8, 1956;us;14;West Texas A&M University
1992-93;New Jersey Nets;44;Derrick Coleman;PF;6-10;230;June 21, 1967;us;2;Syracuse
1992-93;New Jersey Nets;22;Chris Dudley;C;6-11;235;February 22, 1965;us;5;Yale
1992-93;New Jersey Nets;12;Tate George;PG;6-5;190;May 29, 1968;us;2;UConn
1992-93;New Jersey Nets;42;Dave Hoppen;C;6-11;235;March 13, 1964;us;5;Nebraska
1992-93;New Jersey Nets;30;Bernard King;SF;6-7;205;December 4, 1956;us;13;Tennessee
1992-93;New Jersey Nets;20;Doug Lee;SG;6-5;200;October 24, 1964;us;1;Texas A&M, Purdue
1992-93;New Jersey Nets;4;Rick Mahorn;PF;6-10;240;September 21, 1958;us;11;Hampton
1992-93;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;4;Auburn
1992-93;New Jersey Nets;54;Dan O'Sullivan;C;6-10;250;March 3, 1968;us;1;Fordham
1992-93;New Jersey Nets;3;Dražen Petrović;SG;6-5;195;October 22, 1964;hr;3;
1992-93;New Jersey Nets;24;Rumeal Robinson;PG;6-2;195;November 13, 1966;jm;2;Michigan
1992-93;New Jersey Nets;33;Dwayne Schintzius;C;7-1;260;October 14, 1968;us;2;Florida
1992-93;New Jersey Nets;55;Jayson Williams;PF;6-9;240;February 22, 1968;us;2;St. John's
1993-94;New Jersey Nets;7;Kenny Anderson;PG;6-0;168;October 9, 1970;us;2;Georgia Tech
1993-94;New Jersey Nets;22;Ron Anderson;SF;6-7;215;October 15, 1958;us;9;Fresno State
1993-94;New Jersey Nets;0;Benoit Benjamin;C;7-0;250;November 22, 1964;us;8;Creighton
1993-94;New Jersey Nets;42;P.J. Brown;C;6-11;225;October 14, 1969;us;R;Louisiana Tech
1993-94;New Jersey Nets;44;Derrick Coleman;PF;6-10;230;June 21, 1967;us;3;Syracuse
1993-94;New Jersey Nets;21;Kevin Edwards;SG;6-3;190;October 30, 1965;us;5;DePaul
1993-94;New Jersey Nets;43;Armen Gilliam;PF;6-9;230;May 28, 1964;us;6;UNLV
1993-94;New Jersey Nets;24;Dave Jamerson;SG;6-5;190;August 13, 1967;us;2;Ohio University
1993-94;New Jersey Nets;4;Rick Mahorn;PF;6-10;240;September 21, 1958;us;12;Hampton
1993-94;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;5;Auburn
1993-94;New Jersey Nets;20;Johnny Newman;SF;6-7;190;November 28, 1963;us;7;Richmond
1993-94;New Jersey Nets;20;Rumeal Robinson;PG;6-2;195;November 13, 1966;jm;3;Michigan
1993-94;New Jersey Nets;33;Dwayne Schintzius;C;7-1;260;October 14, 1968;us;3;Florida
1993-94;New Jersey Nets;2;Rex Walters;SG;6-4;190;March 12, 1970;us;R;Northwestern, Kansas
1993-94;New Jersey Nets;1;David Wesley;PG;6-0;190;November 14, 1970;us;R;Baylor
1993-94;New Jersey Nets;55;Jayson Williams;PF;6-9;240;February 22, 1968;us;3;St. John's
1994-95;New Jersey Nets;7;Kenny Anderson;PG;6-0;168;October 9, 1970;us;3;Georgia Tech
1994-95;New Jersey Nets;0;Benoit Benjamin;C;7-0;250;November 22, 1964;us;9;Creighton
1994-95;New Jersey Nets;42;P.J. Brown;C;6-11;225;October 14, 1969;us;1;Louisiana Tech
1994-95;New Jersey Nets;1;Chris Childs;PG;6-3;195;November 20, 1967;us;R;Boise State
1994-95;New Jersey Nets;44;Derrick Coleman;PF;6-10;230;June 21, 1967;us;4;Syracuse
1994-95;New Jersey Nets;11;Yinka Dare;C;7-0;265;October 10, 1972;ng;R;George Washington
1994-95;New Jersey Nets;21;Kevin Edwards;SG;6-3;190;October 30, 1965;us;6;DePaul
1994-95;New Jersey Nets;12;Sleepy Floyd;SG;6-3;170;March 6, 1960;us;12;Georgetown
1994-95;New Jersey Nets;43;Armen Gilliam;PF;6-9;230;May 28, 1964;us;7;UNLV
1994-95;New Jersey Nets;9;Sean Higgins;SF;6-9;205;December 30, 1968;us;3;Michigan
1994-95;New Jersey Nets;4;Rick Mahorn;PF;6-10;240;September 21, 1958;us;13;Hampton
1994-95;New Jersey Nets;34;Chris Morris;SF;6-8;210;January 20, 1966;us;6;Auburn
1994-95;New Jersey Nets;33;Dwayne Schintzius;C;7-1;260;October 14, 1968;us;4;Florida
1994-95;New Jersey Nets;2;Rex Walters;SG;6-4;190;March 12, 1970;us;1;Northwestern, Kansas
1994-95;New Jersey Nets;55;Jayson Williams;PF;6-9;240;February 22, 1968;us;4;St. John's
1995-96;New Jersey Nets;7;Kenny Anderson;PG;6-0;168;October 9, 1970;us;4;Georgia Tech
1995-96;New Jersey Nets;45;Shawn Bradley;C;7-6;235;March 22, 1972;de;2;BYU
1995-96;New Jersey Nets;42;P.J. Brown;C;6-11;225;October 14, 1969;us;2;Louisiana Tech
1995-96;New Jersey Nets;1;Chris Childs;PG;6-3;195;November 20, 1967;us;1;Boise State
1995-96;New Jersey Nets;33;Yinka Dare;C;7-0;265;October 10, 1972;ng;1;George Washington
1995-96;New Jersey Nets;21;Kevin Edwards;SG;6-3;190;October 30, 1965;us;7;DePaul
1995-96;New Jersey Nets;10;Vern Fleming;PG;6-5;185;February 4, 1962;us;11;Georgia
1995-96;New Jersey Nets;13;Kendall Gill;SG;6-5;195;May 25, 1968;us;5;Illinois
1995-96;New Jersey Nets;43;Armen Gilliam;SF;6-9;230;May 28, 1964;us;8;UNLV
1995-96;New Jersey Nets;35;Gerald Glass;SF;6-5;221;November 12, 1967;us;3;Delta State University, Ole Miss
1995-96;New Jersey Nets;20;Greg Graham;SG;6-4;174;November 26, 1970;us;2;Indiana
1995-96;New Jersey Nets;4;Rick Mahorn;C;6-10;240;September 21, 1958;us;14;Hampton
1995-96;New Jersey Nets;31;Ed O'Bannon;SG;6-8;222;August 14, 1972;us;R;UCLA
1995-96;New Jersey Nets;34;Tim Perry;PF;6-9;200;June 4, 1965;us;7;Temple
1995-96;New Jersey Nets;6;Khalid Reeves;PG;6-3;199;July 15, 1972;us;1;Arizona
1995-96;New Jersey Nets;2;Rex Walters;SG;6-4;190;March 12, 1970;us;2;Northwestern, Kansas
1995-96;New Jersey Nets;41;Robert Werdann;C;6-11;250;September 12, 1970;us;1;St. John's
1995-96;New Jersey Nets;55;Jayson Williams;PF;6-9;240;February 22, 1968;us;5;St. John's
1996-97;New Jersey Nets;2;Vincent Askew;SG;6-6;210;February 28, 1966;us;7;Memphis
1996-97;New Jersey Nets;45;Shawn Bradley;C;7-6;235;March 22, 1972;de;3;BYU
1996-97;New Jersey Nets;50;Adrian Caldwell;PF;6-8;265;July 4, 1966;us;4;SMU, Lamar
1996-97;New Jersey Nets;10;Sam Cassell;PG;6-3;185;November 18, 1969;us;3;Florida State
1996-97;New Jersey Nets;24;Lloyd Daniels;SG;6-7;205;September 4, 1967;us;3;Mount San Antonio College
1996-97;New Jersey Nets;33;Yinka Dare;C;7-0;265;October 10, 1972;ng;2;George Washington
1996-97;New Jersey Nets;21;Kevin Edwards;PG;6-3;190;October 30, 1965;us;8;DePaul
1996-97;New Jersey Nets;15;Chris Gatling;PF;6-10;220;September 3, 1967;us;5;Old Dominion
1996-97;New Jersey Nets;13;Kendall Gill;SF;6-5;195;May 25, 1968;us;6;Illinois
1996-97;New Jersey Nets;2;Evric Gray;SF;6-7;235;December 13, 1969;us;R;UNLV
1996-97;New Jersey Nets;54;Jack Haley;C;6-10;240;January 27, 1964;us;7;UCLA
1996-97;New Jersey Nets;22;Jim Jackson;SF;6-6;220;October 14, 1970;us;4;Ohio State
1996-97;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;R;Villanova
1996-97;New Jersey Nets;35;Joe Kleine;C;6-11;255;January 4, 1962;us;11;Notre Dame, Arkansas
1996-97;New Jersey Nets;44;Tony Massenburg;PF;6-9;220;July 31, 1967;us;4;Maryland
1996-97;New Jersey Nets;34;Xavier McDaniel;PF;6-7;205;June 4, 1963;us;10;Wichita State
1996-97;New Jersey Nets;0;Eric Montross;C;7-0;270;September 23, 1971;us;2;UNC
1996-97;New Jersey Nets;31;Ed O'Bannon;SF;6-8;222;August 14, 1972;us;1;UCLA
1996-97;New Jersey Nets;14;Robert Pack;PG;6-2;180;February 3, 1969;us;5;USC
1996-97;New Jersey Nets;6;Khalid Reeves;PG;6-3;199;July 15, 1972;us;2;Arizona
1996-97;New Jersey Nets;41;Robert Werdann;C;6-11;250;September 12, 1970;us;2;St. John's
1996-97;New Jersey Nets;55;Jayson Williams;PF;6-9;240;February 22, 1968;us;6;St. John's
1996-97;New Jersey Nets;7;Reggie Williams;SF;6-7;190;March 5, 1964;us;9;Georgetown
1997-98;New Jersey Nets;2;David Benoit;SF;6-8;220;May 9, 1968;us;5;Alabama
1997-98;New Jersey Nets;45;Michael Cage;C;6-9;224;January 28, 1962;us;13;San Diego State
1997-98;New Jersey Nets;10;Sam Cassell;PG;6-3;185;November 18, 1969;us;4;Florida State
1997-98;New Jersey Nets;33;Yinka Dare;C;7-0;265;October 10, 1972;ng;3;George Washington
1997-98;New Jersey Nets;20;Sherman Douglas;PG;6-0;180;September 15, 1966;us;8;Syracuse
1997-98;New Jersey Nets;21;Kevin Edwards;SG;6-3;190;October 30, 1965;us;9;DePaul
1997-98;New Jersey Nets;11;Brian Evans;SF;6-8;220;September 13, 1973;us;1;Indiana
1997-98;New Jersey Nets;15;Chris Gatling;PF;6-10;220;September 3, 1967;us;6;Old Dominion
1997-98;New Jersey Nets;13;Kendall Gill;SF;6-5;195;May 25, 1968;us;7;Illinois
1997-98;New Jersey Nets;54;Jack Haley;C;6-10;240;January 27, 1964;us;8;UCLA
1997-98;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;4;Cal State Long Beach
1997-98;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;1;Villanova
1997-98;New Jersey Nets;24;Don MacLean;SF;6-10;235;January 16, 1970;us;5;UCLA
1997-98;New Jersey Nets;34;Xavier McDaniel;SF;6-7;205;June 4, 1963;us;11;Wichita State
1997-98;New Jersey Nets;2;Rony Seikaly;C;6-11;230;May 10, 1965;lb;9;Syracuse
1997-98;New Jersey Nets;44;Keith Van Horn;PF;6-10;220;October 23, 1975;us;R;Utah
1997-98;New Jersey Nets;42;David Vaughn;PF;6-9;240;March 23, 1973;us;2;Memphis
1997-98;New Jersey Nets;55;Jayson Williams;C;6-9;240;February 22, 1968;us;7;St. John's
1998-99;New Jersey Nets;7;Earl Boykins;PG;5-5;135;June 2, 1976;us;R;Eastern Michigan
1998-99;New Jersey Nets;24;Scott Burrell;SF;6-7;218;January 12, 1971;us;5;UConn
1998-99;New Jersey Nets;43;Chris Carr;SG;6-5;207;March 12, 1974;us;3;Southern Illinois
1998-99;New Jersey Nets;10;Sam Cassell;PG;6-3;185;November 18, 1969;us;5;Florida State
1998-99;New Jersey Nets;51;William Cunningham;C;6-11;250;March 25, 1974;us;1;Temple
1998-99;New Jersey Nets;11;Brian Evans;SF;6-8;220;September 13, 1973;us;2;Indiana
1998-99;New Jersey Nets;14;Jamie Feick;PF;6-9;255;July 3, 1974;us;2;Michigan State
1998-99;New Jersey Nets;15;Chris Gatling;C;6-10;220;September 3, 1967;us;7;Old Dominion
1998-99;New Jersey Nets;13;Kendall Gill;SF;6-5;195;May 25, 1968;us;8;Illinois
1998-99;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;5;Cal State Long Beach
1998-99;New Jersey Nets;42;Mark Hendrickson;PF;6-9;220;June 23, 1974;us;2;Washington State
1998-99;New Jersey Nets;9;Damon Jones;PG;6-3;185;August 25, 1976;us;R;Houston
1998-99;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;2;Villanova
1998-99;New Jersey Nets;33;Stephon Marbury;PG;6-2;180;February 20, 1977;us;2;Georgia Tech
1998-99;New Jersey Nets;22;Jim McIlvaine;C;7-1;240;July 30, 1972;us;4;Marquette
1998-99;New Jersey Nets;5;Eric Murdock;PG;6-1;190;June 14, 1968;us;7;Providence
1998-99;New Jersey Nets;77;Gheorghe Mureșan;C;7-7;303;February 14, 1971;ro;4;
1998-99;New Jersey Nets;20;Doug Overton;PG;6-3;190;August 3, 1969;us;6;La Salle
1998-99;New Jersey Nets;1;Elliot Perry;PG;6-0;150;March 28, 1969;us;6;Memphis
1998-99;New Jersey Nets;2;Rony Seikaly;C;6-11;230;May 10, 1965;lb;10;Syracuse
1998-99;New Jersey Nets;44;Keith Van Horn;PF;6-10;220;October 23, 1975;us;1;Utah
1998-99;New Jersey Nets;50;David Vaughn;PF;6-9;240;March 23, 1973;us;3;Memphis
1998-99;New Jersey Nets;55;Jayson Williams;C;6-9;240;February 22, 1968;us;8;St. John's
1999-00;New Jersey Nets;24;Scott Burrell;SF;6-7;218;January 12, 1971;us;6;UConn
1999-00;New Jersey Nets;45;Michael Cage;C;6-9;224;January 28, 1962;us;14;San Diego State
1999-00;New Jersey Nets;11;Sherman Douglas;PG;6-0;180;September 15, 1966;us;10;Syracuse
1999-00;New Jersey Nets;0;Evan Eschmeyer;C;6-11;255;May 30, 1975;us;R;Northwestern
1999-00;New Jersey Nets;14;Jamie Feick;C;6-9;255;July 3, 1974;us;3;Michigan State
1999-00;New Jersey Nets;13;Kendall Gill;SF;6-5;195;May 25, 1968;us;9;Illinois
1999-00;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;6;Cal State Long Beach
1999-00;New Jersey Nets;42;Mark Hendrickson;PF;6-9;220;June 23, 1974;us;3;Washington State
1999-00;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;3;Villanova
1999-00;New Jersey Nets;33;Stephon Marbury;PG;6-2;180;February 20, 1977;us;3;Georgia Tech
1999-00;New Jersey Nets;22;Jim McIlvaine;C;7-1;240;July 30, 1972;us;5;Marquette
1999-00;New Jersey Nets;77;Gheorghe Mureșan;C;7-7;303;February 14, 1971;ro;5;
1999-00;New Jersey Nets;20;Johnny Newman;SF;6-7;190;November 28, 1963;us;13;Richmond
1999-00;New Jersey Nets;1;Elliot Perry;PG;6-0;150;March 28, 1969;us;7;Memphis
1999-00;New Jersey Nets;44;Keith Van Horn;PF;6-10;220;October 23, 1975;us;2;Utah
2000-01;New Jersey Nets;11;Sherman Douglas;PG;6-0;180;September 15, 1966;us;11;Syracuse
2000-01;New Jersey Nets;42;Evan Eschmeyer;C;6-11;255;May 30, 1975;us;1;Northwestern
2000-01;New Jersey Nets;14;Jamie Feick;C;6-9;255;July 3, 1974;us;4;Michigan State
2000-01;New Jersey Nets;8;Eddie Gill;PG;6-0;190;August 16, 1978;us;R;Weber State
2000-01;New Jersey Nets;13;Kendall Gill;SG;6-5;195;May 25, 1968;us;10;Illinois
2000-01;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;7;Cal State Long Beach
2000-01;New Jersey Nets;24;Stephen Jackson;SF;6-8;218;April 5, 1978;us;R;Butler County Community College
2000-01;New Jersey Nets;33;Stephon Marbury;PG;6-2;180;February 20, 1977;us;4;Georgia Tech
2000-01;New Jersey Nets;6;Kenyon Martin;PF;6-9;234;December 30, 1977;us;R;Cincinnati
2000-01;New Jersey Nets;22;Jim McIlvaine;C;7-1;240;July 30, 1972;us;6;Marquette
2000-01;New Jersey Nets;20;Johnny Newman;SG;6-7;190;November 28, 1963;us;14;Richmond
2000-01;New Jersey Nets;2;Kevin Ollie;PG;6-4;195;December 27, 1972;us;3;UConn
2000-01;New Jersey Nets;2;Doug Overton;PG;6-3;190;August 3, 1969;us;8;La Salle
2000-01;New Jersey Nets;45;Soumaila Samake;C;7-0;230;March 18, 1978;ml;R;
2000-01;New Jersey Nets;50;Vladimir Stepania;C;7-0;236;May 8, 1976;ge;2;
2000-01;New Jersey Nets;31;Mark Strickland;SF;6-9;210;July 14, 1970;us;5;Temple
2000-01;New Jersey Nets;5;Jamel Thomas;SF;6-6;215;March 25, 1973;us;1;Providence
2000-01;New Jersey Nets;44;Keith Van Horn;SF;6-10;220;October 23, 1975;us;3;Utah
2000-01;New Jersey Nets;34;Aaron Williams;PF;6-9;220;October 2, 1971;us;6;Xavier
2001-02;New Jersey Nets;1;Brandon Armstrong;SG;6-5;188;June 16, 1980;us;R;Pepperdine
2001-02;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;R;Stanford
2001-02;New Jersey Nets;10;Derrick Dial;SG;6-4;184;December 20, 1975;us;2;Eastern Michigan
2001-02;New Jersey Nets;54;Steve Goodrich;SF;6-10;220;March 18, 1976;us;1;Princeton
2001-02;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;8;Cal State Long Beach
2001-02;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;R;Arizona
2001-02;New Jersey Nets;8;Anthony Johnson;SG;6-3;190;October 2, 1974;us;4;College of Charleston
2001-02;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;7;California
2001-02;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;4;Villanova
2001-02;New Jersey Nets;11;Todd MacCulloch;C;7-0;280;January 27, 1976;ca;2;Washington
2001-02;New Jersey Nets;13;Donny Marshall;SF;6-7;230;July 17, 1972;us;3;UConn
2001-02;New Jersey Nets;6;Kenyon Martin;PF;6-9;234;December 30, 1977;us;1;Cincinnati
2001-02;New Jersey Nets;21;Brian Scalabrine;PF;6-9;241;March 18, 1978;us;R;USC
2001-02;New Jersey Nets;50;Reggie Slater;PF;6-7;215;August 27, 1970;us;6;Wyoming
2001-02;New Jersey Nets;44;Keith Van Horn;SF;6-10;220;October 23, 1975;us;4;Utah
2001-02;New Jersey Nets;34;Aaron Williams;PF;6-9;220;October 2, 1971;us;7;Xavier
2002-03;New Jersey Nets;1;Brandon Armstrong;SG;6-5;188;June 16, 1980;us;1;Pepperdine
2002-03;New Jersey Nets;11;Chris Childs;PG;6-3;195;November 20, 1967;us;8;Boise State
2002-03;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;1;Stanford
2002-03;New Jersey Nets;12;Lucious Harris;SG;6-5;190;December 18, 1970;us;9;Cal State Long Beach
2002-03;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;1;Arizona
2002-03;New Jersey Nets;2;Anthony Johnson;PG;6-3;190;October 2, 1974;us;5;College of Charleston
2002-03;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;8;California
2002-03;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;5;Villanova
2002-03;New Jersey Nets;13;Donny Marshall;SF;6-7;230;July 17, 1972;us;4;UConn
2002-03;New Jersey Nets;6;Kenyon Martin;PF;6-9;234;December 30, 1977;us;2;Cincinnati
2002-03;New Jersey Nets;55;Dikembe Mutombo;C;7-2;245;June 25, 1966;cd;11;Georgetown
2002-03;New Jersey Nets;54;Rodney Rogers;PF;6-7;235;June 20, 1971;us;9;Wake Forest
2002-03;New Jersey Nets;21;Brian Scalabrine;PF;6-9;241;March 18, 1978;us;1;USC
2002-03;New Jersey Nets;8;Tamar Slay;SG;6-8;215;April 2, 1980;us;R;Marshall
2002-03;New Jersey Nets;34;Aaron Williams;C;6-9;220;October 2, 1971;us;8;Xavier
2003-04;New Jersey Nets;1;Brandon Armstrong;SG;6-5;188;June 16, 1980;us;2;Pepperdine
2003-04;New Jersey Nets;31;Damone Brown;PF;6-9;200;June 28, 1979;us;2;Syracuse
2003-04;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;2;Stanford
2003-04;New Jersey Nets;44;Hubert Davis;SG;6-5;183;May 17, 1970;us;11;UNC
2003-04;New Jersey Nets;9;Anthony Goldwire;PG;6-1;182;September 6, 1971;us;5;Houston
2003-04;New Jersey Nets;12;Lucious Harris;PG;6-5;190;December 18, 1970;us;10;Cal State Long Beach
2003-04;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;2;Arizona
2003-04;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;9;California
2003-04;New Jersey Nets;30;Kerry Kittles;SG;6-5;179;June 12, 1974;us;6;Villanova
2003-04;New Jersey Nets;6;Kenyon Martin;PF;6-9;234;December 30, 1977;us;3;Cincinnati
